NED UNIVERSITY - HEC APPROVED PhD SUPERVISORS
==============================================

IMPORTANT NOTE:
All PhD Supervisors available on this search list need to apply again at
HEC E-Portal as this list will be discarded soon.

Register at: http://eportal.hec.gov.pk/asa

Total Supervisors: 179

---
S.No.  Name                           Designation                     Subject
----   ----                           -----------                     -------
1      Dr. Abdul Ghaffar Memon        Associate Professor             Engineering & Technology
2      Dr. Abdul Ghani Abro           Assistant Professor             Engineering & Technology
3      Dr. Abdul Hai Madni            Associate Professor             Social Sciences
4      Dr. Abdurrahman Javid Shaikh   Assistant Professor             Engineering & Technology
5      Dr. Adnan Qadir                Professor                       Engineering & Technology
6      Dr. Afzal Ahmed                Assistant Professor             Engineering & Technology
7      Dr. Ali Dad Chandio            Associate Professor             Engineering & Technology
8      Dr. Ali Hasan Mahmood          Associate Professor             Engineering & Technology
9      Dr. Amtul Qayoom               Associate Professor             Physical Sciences
10     Dr. Anis Fatima                Assistant Professor             Engineering & Technology
11     Dr. Anjum Ayub                 Assistant Professor             Physical Sciences
12     Dr. Aqeel Ahmed                Faculty Member                  Engineering & Technology
13     Dr. Asad-Ur-Rehman Khan        Professor                       Engineering & Technology
14     Dr. Ashar Ahmed                Assistant Professor             Engineering & Technology
15     Dr. Ashraf Ali                 Chairman & Professor            Metallurgy and Materials
16     Dr. Asif Ahmed Shaikh          Professor                       Engineering & Technology
17     Dr. Asim Mushtaq               Associate Professor             Engineering & Technology
18     Dr. Asim Zaheer                Assistant Professor             Engineering & Technology
19     Dr. Aslam Faqeer Mohammad      Assistant Professor             Engineering & Technology
20     Dr. Atif Mustafa               Associate Professor             Engineering & Technology
21     Dr. Attaullah Khawaja          Professor                       Engineering & Technology
22     Dr. Ayesha Abbas               Assistant Professor             Engineering & Technology
23     Dr. Azam Khan                  Assistant Professor             Physical Sciences
24     Dr. Beenish Sultana            Assistant Professor             Engineering & Technology
25     Dr. Bilal Zahid                Associate Professor             Engineering & Technology
26     Dr. Danish Mahmood Khan        Senior Laboratory Engineer       Engineering & Technology
27     Dr. Eraj Humayun Mirza         Associate Professor             Engineering & Technology
